Gene_id	Coverage	FPKM	TPM
NGJCOJPH_00424	82.767387	40.438862	43.839993
NGJCOJPH_00425	126.631508	61.870190	67.073814
NGJCOJPH_00426	104.264267	50.941906	55.226398
NGJCOJPH_00427	59.256950	28.952026	31.387053
NGJCOJPH_00428	118.835396	58.061131	62.944393
NGJCOJPH_00429	567.488586	277.266113	300.585724
NGJCOJPH_00430	172.971954	84.511414	91.619293
NGJCOJPH_00431	162.627914	79.457474	86.140289
NGJCOJPH_00432	148.970276	72.784561	78.906151
NGJCOJPH_00433	102.709572	50.182304	54.402912
NGJCOJPH_00434	266.507538	130.211441	141.162949
NGJCOJPH_00435	443.161926	216.522049	234.732742
NGJCOJPH_00436	19193.380859	9377.587891	10166.294922
NGJCOJPH_00437	516.918091	252.558151	273.799683
NGJCOJPH_00438	244.219086	119.321655	129.357269
NGJCOJPH_00439	1361.846802	665.377258	721.339111
NGJCOJPH_00440	48.137115	23.519047	25.497129
NGJCOJPH_00441	85.397102	41.723698	45.232895
NGJCOJPH_00442	123.560822	60.369900	65.447342
NGJCOJPH_00443	51.438744	25.132172	27.245928
NGJCOJPH_00444	97.634171	47.702541	51.714588
NGJCOJPH_00445	259.749237	126.909447	137.583237
NGJCOJPH_00446	96.102135	46.954014	50.903107
NGJCOJPH_00447	147.885864	72.254738	78.331764
NGJCOJPH_00448	174.779449	85.394524	92.576683
NGJCOJPH_00449	414.013885	202.280762	219.293701
NGJCOJPH_00450	241.285538	117.888367	127.803436
NGJCOJPH_00451	132.958603	64.961510	70.425133
NGJCOJPH_00452	269.143341	131.499268	142.559067
NGJCOJPH_00453	660.303955	322.614258	349.747894
NGJCOJPH_00454	69.298660	33.858250	36.705917
NGJCOJPH_00455	544.583313	266.074951	288.453339
NGJCOJPH_00456	215.617813	105.347519	114.207825
NGJCOJPH_00457	137.341919	67.103127	72.746880
NGJCOJPH_00458	633.703003	309.617432	335.657990
NGJCOJPH_00459	268.944458	131.402084	142.453735
NGJCOJPH_00460	433.382355	211.743896	229.552734
NGJCOJPH_00461	410.287598	200.460159	217.319962
NGJCOJPH_00462	67.175003	32.820663	35.581062
NGJCOJPH_00463	135.775681	66.337891	71.917274
NGJCOJPH_00464	157.137848	76.775116	83.232323
NGJCOJPH_00465	327.952942	160.232727	173.709167
NGJCOJPH_00466	259.655762	126.863777	137.533722
NGJCOJPH_00467	312.488098	152.676834	165.517807
NGJCOJPH_00468	180.954681	88.411644	95.847565
NGJCOJPH_00469	144.182358	70.445267	76.370094
NGJCOJPH_00470	97.527428	47.650391	51.658047
NGJCOJPH_00471	216.844971	105.947090	114.857826
NGJCOJPH_00472	70.468925	34.430023	37.325779
NGJCOJPH_00473	52.178501	25.493607	27.637758
NGJCOJPH_00474	134.631500	65.778862	71.311234
NGJCOJPH_00475	315.371643	154.085693	167.045151
NGJCOJPH_00476	111.035324	54.250137	58.812874
